no,name,kor,eng,math,total,avg
1,Daron,45,32,59,136,45.3333333333
2,Robbie,48,2,52,102,34
3,Denver,21,66,49,136,45.3333333333
4,Pierson,83,85,2,170,56.6666666667
5,Paulo,65,47,65,177,59
6,Garth,32,4,93,129,43
7,Ashleigh,10,86,31,127,42.3333333333
8,Sibella,55,90,71,216,72
9,Guillemette,66,93,81,240,80
10,Inger,15,74,88,177,59
11,Finn,100,4,43,147,49
12,Keeley,52,13,8,73,24.3333333333
13,Charlton,7,3,14,24,8
14,Orly,16,2,33,51,17
15,Marty,1,48,9,58,19.3333333333
16,Eberhard,12,54,41,107,35.6666666667
17,Giustina,55,54,1,110,36.6666666667
18,Leopold,94,61,39,194,64.6666666667
19,Clemmy,32,32,99,163,54.3333333333
20,Rakel,75,57,35,167,55.6666666667
21,Myrlene,100,75,74,249,83
22,Laraine,8,17,84,109,36.3333333333
23,Arty,95,61,41,197,65.6666666667
24,Xaviera,49,15,49,113,37.6666666667
25,Cindy,40,44,1,85,28.3333333333
26,Jacquenetta,24,51,89,164,54.6666666667
27,Kiel,70,18,95,183,61
28,Arlie,27,92,39,158,52.6666666667
29,Jana,71,23,46,140,46.6666666667
30,Nerti,25,84,90,199,66.3333333333
31,Deloris,21,99,91,211,70.3333333333
32,Mufinella,15,28,61,104,34.6666666667
33,Angie,1,19,86,106,35.3333333333
34,Bevan,51,7,32,90,30
35,Elisabeth,19,36,75,130,43.3333333333
36,Sibyl,76,53,28,157,52.3333333333
37,Rois,59,32,51,142,47.3333333333
38,Ilario,7,6,56,69,23
39,Caitlin,63,19,22,104,34.6666666667
40,Hersh,75,45,1,121,40.3333333333
41,Gusella,72,27,80,179,59.6666666667
42,Cass,100,75,69,244,81.3333333333
43,Alfie,9,2,74,85,28.3333333333
44,Sandye,74,28,14,116,38.6666666667
45,Nolan,50,30,55,135,45
46,Rani,96,19,70,185,61.6666666667
47,Babb,63,31,95,189,63
48,Donny,61,48,87,196,65.3333333333
49,Taddeusz,59,96,39,194,64.6666666667
50,Garwin,68,88,30,186,62
51,Lenee,15,62,72,149,49.6666666667
52,Oby,78,35,92,205,68.3333333333
53,Ruben,40,19,58,117,39
54,Arel,53,6,4,63,21
55,Korney,97,65,30,192,64
56,Phineas,2,32,19,53,17.6666666667
57,Paco,75,62,47,184,61.3333333333
58,Lawry,100,97,34,231,77
59,Dylan,55,46,47,148,49.3333333333
60,Morissa,42,71,5,118,39.3333333333
61,Aleda,92,74,82,248,82.6666666667
62,Gabrielle,32,81,66,179,59.6666666667
63,Lira,12,40,71,123,41
64,Hetty,10,43,10,63,21
65,Sibelle,35,70,78,183,61
66,Eustacia,98,18,27,143,47.6666666667
67,Butch,94,100,65,259,86.3333333333
68,Michele,43,50,65,158,52.6666666667
69,Malva,94,98,10,202,67.3333333333
70,Lorilee,46,100,46,192,64
71,Abigale,78,8,49,135,45
72,Averil,17,43,19,79,26.3333333333
73,Mattie,54,33,25,112,37.3333333333
74,Kingsly,94,77,5,176,58.6666666667
75,Laural,23,55,61,139,46.3333333333
76,Chandra,82,30,92,204,68
77,Bel,23,31,45,99,33
78,Faber,49,74,5,128,42.6666666667
79,Edd,61,80,16,157,52.3333333333
80,Cecilia,94,93,36,223,74.3333333333
81,Quintin,97,69,82,248,82.6666666667
82,Allene,76,23,12,111,37
83,Allistir,100,86,60,246,82
84,Garrik,1,19,35,55,18.3333333333
